"Plant_Code","Plant_Name","Utility_Na","Utility_ID","sector_nam","City","County","StateName","Zip","Street_Add","PrimSource","Install_MW","Total_MW","Coal_MW","NG_MW","Crude_MW","Bio_MW","Hydro_MW","HydroPS_MW","Nuclear_MW","Solar_MW","Wind_MW","Geo_MW","Bat_MW","Other_MW","source_des","tech_desc","Source","Period","Latitude","Longitude"
56604,"Hardin County Peaking Facility","East Texas Electric Coop, Inc",39347,"Electric Utility","Kountze","Hardin","Texas",77625,"8908 U.S. Highway 69","natural gas",173,146,0,146,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 146 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,30.3038,-94.2526
56611,"Sandy Creek Energy Station","Sandy Creek Energy Associates LP",55861,"IPP Non-CHP","Riesel","McLennan","Texas",76682,"2161 Rattlesnake Rd","coal",1008,932.6,932.6,0,0,NA,0,0,0,0,0,NA,NA,NA,"Coal = 932.6 MW","Conventional Steam Coal","EIA-860, EIA-860M and EIA-923",202004,31.474378,-96.957149
56638,"Buffalo Gap 3 Wind Farm","AES Wind Generation Inc",19740,"IPP Non-CHP","Nolan","Nolan","Texas",79537,"4220-A FM 126","wind",170.2,170.2,0,0,0,NA,0,0,0,0,170.2,NA,NA,NA,"Wind = 170.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.2878,-100.1
56644,"Stanton Wind Energy LLC","Invenergy Services LLC",49893,"IPP Non-CHP","Lenorah","Martin","Texas",79749,"2646 State Highway 137","wind",120,120,0,0,0,NA,0,0,0,0,120,NA,NA,NA,"Wind = 120 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.2353,-101.8367
56648,"Majestic 1 Wind Farm","NextEra Energy Majestic Wind",58353,"IPP Non-CHP","Panhandle","Carson","Texas",79068,"580 FM 1342","wind",79.5,79.5,0,0,0,NA,0,0,0,0,79.5,NA,NA,NA,"Wind = 79.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.3919,-101.53
56649,"South Trent Wind Farm","NRG Energy Inc",55397,"IPP Non-CHP","Sweetwater","Nolan","Texas",79556,"1101 CR 190","wind",101.2,101.2,0,0,0,NA,0,0,0,0,101.2,NA,NA,NA,"Wind = 101.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.4081,-100.1286
56661,"Pattern Gulf Wind","Pattern Operators LP",56545,"IPP Non-CHP","Armstrong","Kenedy","Texas",78338,"803 Gulf Wind Road","wind",283.2,283.2,0,0,0,NA,0,0,0,0,283.2,NA,NA,NA,"Wind = 283.2 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.0011,-97.5994
56673,"Whirlwind Energy Center","Whirlwind Energy LLC",55922,"IPP Non-CHP","Floydada","Floyd","Texas",79235,"1683 County Rd 271","wind",59.8,57,0,0,0,NA,0,0,0,0,57,NA,NA,NA,"Wind = 57 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,34.105,-101.0986
56674,"Winchester Power Park","Lower Colorado River Authority",11269,"Electric Utility","Winchester","Fayette","Texas",78945,"1260 Farm to Market Road 448","natural gas",242,176,0,176,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 176 MW","Natural Gas Fired Combustion Turbine","EIA-860, EIA-860M and EIA-923",202004,30.0381,-96.9875
56708,"CFB Power Plant","Formosa Plastics Corp",6541,"Industrial Non-CHP","Point Comfort","Calhoun","Texas",77978,"201 Formosa Drive","natural gas",310,286.2,0,286.2,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 286.2 MW","Natural Gas Steam Turbine","EIA-860, EIA-860M and EIA-923",202004,28.650278,-96.539722
56754,"Goat Wind LP","NRG Energy Gas & Wind Holdings Inc",59883,"IPP Non-CHP","Sterling City","Sterling","Texas",76951,"240 & 241 Texas Hwy 158E","wind",149.6,149.6,0,0,0,NA,0,0,0,0,149.6,NA,NA,NA,"Wind = 149.6 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.951944,-100.791389
56763,"Capricorn Ridge Wind LLC","Capricorn Ridge Wind LLC",55958,"IPP Non-CHP","Sterling City","Sterling","Texas",76951,"Unnammed Road","wind",662.5,662.5,0,0,0,NA,0,0,0,0,662.5,NA,NA,NA,"Wind = 662.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.951958,-101.018936
56771,"Silver Star I Wind Power Project","Silver Star I Power Partners LLC",62076,"IPP Non-CHP","Dublin","Erath","Texas",76446,"10893 CR397","wind",60,60,0,0,0,NA,0,0,0,0,60,NA,NA,NA,"Wind = 60 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.338659,-98.476051
56773,"McAdoo Wind Energy LLC","Invenergy Services LLC",49893,"IPP Non-CHP","McAdoo","Dickens","Texas",79243,"401 W FM 193","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.752201,-100.967402
56774,"Turkey Track Wind Energy LLC","Invenergy Services LLC",49893,"IPP Non-CHP","Blackwell","Nolan","Texas",79537,"4310 A Hwy 153","wind",169.5,169.5,0,0,0,NA,0,0,0,0,169.5,NA,NA,NA,"Wind = 169.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.1981,-100.2686
56775,"Scurry County Wind II","Invenergy Services LLC",49893,"IPP Non-CHP","Snyder","Scurry","Texas",79549,"6543 E Hwy","wind",120,120,0,0,0,NA,0,0,0,0,120,NA,NA,NA,"Wind = 120 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.718056,-100.793333
56776,"Gunsight Mountain Wind Energy LLC","Invenergy Services LLC",49893,"IPP Non-CHP","Big Spring","Howard","Texas",79720,"17012 North County Road 33","wind",120,120,0,0,0,NA,0,0,0,0,120,NA,NA,NA,"Wind = 120 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.240278,-101.473611
56779,"Sherbino I Wind Farm","Sherbino Mesa I Windfarm LLC",62811,"IPP Non-CHP","Fort Stockton","Pecos","Texas",79735,"568 Private Road 6038","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,30.807272,-102.355628
56783,"Elbow Creek Wind Project LLC","Elbow Creek Wind Project LLC",55981,"IPP Non-CHP","Forsan","Howard","Texas",79733,"9919 Kay","wind",121.9,121.9,0,0,0,NA,0,0,0,0,121.9,NA,NA,NA,"Wind = 121.9 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.1408,-101.3986
56795,"Penascal Wind Power LLC","Avangrid Renewables LLC",15399,"IPP Non-CHP","Sarita","Kenedy","Texas",78385,"581 South Highway 77","wind",201.6,201.6,0,0,0,NA,0,0,0,0,201.6,NA,NA,NA,"Wind = 201.6 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.0702,-97.5077
56806,"Cedar Bayou 4","NRG Cedar Bayou Development Company LLC",56020,"IPP Non-CHP","Eldon","Chambers","Texas",77523,"7705 West Bay Road","natural gas",535.5,502,0,502,0,NA,0,0,0,0,0,NA,NA,NA,"Natural Gas = 502 MW","Natural Gas Fired Combined Cycle","EIA-860, EIA-860M and EIA-923",202004,29.751645,-94.92312
56823,"Hackberry Wind Farm","Hackberry Wind LLC",56033,"IPP Non-CHP","Albany","Shackelford","Texas",76430,"177 Private Road","wind",165.6,162.3,0,0,0,NA,0,0,0,0,162.3,NA,NA,NA,"Wind = 162.3 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.7683,-99.4228
56835,"Ribeye Wind (11) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Dumas","Moore","Texas",79029,"10655 US Highway 287","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.8119,-101.9789
56836,"T-Bone Wind (10) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Dumas","Moore","Texas",79029,"6000 Stallwitz Road","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.8081,-101.9986
56837,"Tri-Tip Wind (9) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Sunray","Moore","Texas",79086,"11572 Texas Beef Road","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.9614,-101.8033
56838,"Brisket Wind (8) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Sunray","Moore","Texas",79086,"11896 Light Plant Road","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.0075,-101.8614
56839,"Flat Iron Wind (7) LLC","GlidePath Power Operations LLC",61728,"IPP Non-CHP","Sunray","Moore","Texas",79086,"6603 FM 281","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.0264,-101.9
56905,"Great Plains Windpark LLC","Great Plains Windpark Legacy LLC",61671,"IPP Non-CHP","Spearman","Hansford","Texas",79081,"15001 Highway 207","wind",114,114,0,0,0,NA,0,0,0,0,114,NA,NA,NA,"Wind = 114 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,36.4964,-101.3917
56920,"Panther Creek Wind Farm I","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Big Spring","Howard","Texas",79720,"1081 Longshore Road","wind",142.5,142.5,0,0,0,NA,0,0,0,0,142.5,NA,NA,NA,"Wind = 142.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.100823,-101.451385
56921,"Panther Creek Wind Farm II","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Big Spring","Glasscock","Texas",79720,"904 N. McDonald Rd","wind",115.5,115.5,0,0,0,NA,0,0,0,0,115.5,NA,NA,NA,"Wind = 115.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.9361,-101.2983
56956,"Bull Creek Wind","Bull Creek Wind LLC",56222,"IPP Non-CHP","O'Donnell","Borden","Texas",79351,"1016d County Road","wind",180,180,0,0,0,NA,0,0,0,0,180,NA,NA,NA,"Wind = 180 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.929014,-101.578617
56959,"Ocotillo Windpower","Duke Energy DEGS Ocotillo",56273,"IPP Non-CHP","Forsan","Howard","Texas",79733,"2803 FM 461","wind",58.8,58.8,0,0,0,NA,0,0,0,0,58.8,NA,NA,NA,"Wind = 58.8 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,32.1217,-101.3853
56961,"Notrees Windpower Hybrid","Duke Energy DEGS Notrees",56272,"IPP Non-CHP","Goldsmith","Ector","Texas",79741,"19991 Sheep Pasture Rd.","wind",188.5,188.5,0,0,0,NA,0,0,0,0,152.5,NA,"36.0",NA,"Battery = 36 MW, Wind = 152.5 MW","Batteries; Onshore Wind Turbine;","EIA-860, EIA-860M and EIA-923",202004,31.995,-102.828333
56979,"Panther Creek Wind Farm Three","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Big Spring","Sterling","Texas",79720,"904 North McDonald Rd","wind",199.5,199.5,0,0,0,NA,0,0,0,0,199.5,NA,NA,NA,"Wind = 199.5 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.9925,-101.1167
56981,"Pyron Wind Farm LLC Hybrid","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Hermleigh","Fisher","Texas",79545,"9871 County Rd. 4146","wind",258.9,258.9,0,0,0,NA,0,0,0,0,249,NA,"9.9",NA,"Battery = 9.9 MW, Wind = 249 MW","Batteries; Onshore Wind Turbine;","EIA-860, EIA-860M and EIA-923",202004,32.5886,-100.6728
56983,"Papalote Creek I LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Taft","San Patricio","Texas",78390,"5399 C.R. 3161","wind",180,180,0,0,0,NA,0,0,0,0,180,NA,NA,NA,"Wind = 180 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.9386,-97.4586
56984,"Inadale Wind Farm LLC Hybrid","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Roscoe","Nolan","Texas",79545,"130 C.R. 170","wind",206.9,206.9,0,0,0,NA,0,0,0,0,197,NA,"9.9",NA,"Battery = 9.9 MW, Wind = 197 MW","Batteries; Onshore Wind Turbine;","EIA-860, EIA-860M and EIA-923",202004,32.4969,-100.5797
57095,"Penascal II Wind Project LLC","Avangrid Renewables LLC",15399,"IPP Non-CHP","Sarita","Kenedy","Texas",78385,"881 South Highway 77","wind",201,201,0,0,0,NA,0,0,0,0,201,NA,NA,NA,"Wind = 201 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.1197,-97.5499
57153,"Langford Wind Power","Langford Wind Power LLC",56506,"IPP Non-CHP","Christoval","Tom Green","Texas",76935,"9636 Duff Road","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,31.085435,-100.67882
57156,"Barton Chapel Wind Farm","Avangrid Renewables LLC",15399,"IPP Non-CHP","Jacksboro","Jack","Texas",76458,"6868 Rock Creek Rd","wind",120,120,0,0,0,NA,0,0,0,0,120,NA,NA,NA,"Wind = 120 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,33.06797,-98.337652
57197,"Blue Wing Solar Energy Generation","TX Solar I LLC",56565,"IPP Non-CHP","San Antonio","Bexar","Texas",78223,"10810 S Blue Wind Rd.","solar",13.9,13.5,0,0,0,NA,0,0,0,13.5,0,NA,NA,NA,"Solar = 13.5 MW","Solar Photovoltaic","EIA-860, EIA-860M and EIA-923",202004,29.304177,-98.400339
57212,"Papalote Creek II LLC","RWE Renewables Americas LLC",56215,"IPP Non-CHP","Taft","San Patricio","Texas",78390,"546 FM 631","wind",200.1,200.1,0,0,0,NA,0,0,0,0,200.1,NA,NA,NA,"Wind = 200.1 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.9958,-97.2967
57260,"Cedro Hill Wind LLC","NRG Energy Gas & Wind Holdings Inc",59883,"IPP Non-CHP","Bruni","Webb","Texas",78344,"7476 FM 2050","wind",150,150,0,0,0,NA,0,0,0,0,150,NA,NA,NA,"Wind = 150 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,27.576111,-98.905278
57263,"Little Pringle I Wind Farm","DeWind Co.",56627,"IPP Non-CHP","Morse","Hutchinson","Texas",79062,"8570 Co Rd H","wind",10,10,0,0,0,NA,0,0,0,0,10,NA,NA,NA,"Wind = 10 MW","Onshore Wind Turbine","EIA-860, EIA-860M and EIA-923",202004,35.964272,-101.540238
